STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,COORDINATES
1895,W 14TH AV,5,Rashid A Aziz (Rashid Aziz),5,"[49.2590843, -123.1481714]"
1020,W 16TH AV,8,Shashi Khanna,1,"[49.2569974, -123.1280998]"
33,W 19TH AV,5,Tai M Lum (Tai Lum),5,"[49.2537973, -123.1056771]"
2391,W 2ND AV,6,Cindy Rosamarie Wajzer-Zeindler (Cindy Wajzer-Zeindler),5,"[49.2700536, -123.1597449]"
2455,W 2ND AV,32,Climar Development Co Ltd,12,"[49.2700595, -123.1611318]"
2120,W 44TH AV,46,Cavalier Manor Holding Co Ltd,1,"[49.2316031, -123.1566283]"
2629,W 4TH AV,10,Koon Kei Yang (Koon Yang),4,"[49.26842389999999, -123.1653723]"
2760,W 4TH AV,10,Singh Gurdyal Sahota & Kaur P Sahota,3,"[49.268351, -123.1676636]"
3285,W 4TH AV,25,Kit S Hung & Shuk Y Hung,3,"[49.2685159, -123.1774349]"
2232,W 5TH AV,20,5th Avenue Investments Ltd,1,"[49.2673161, -123.1559731]"
3675,W 5TH AV,6,Ample Enterprises Ltd,5,"[49.26777879999999, -123.1856298]"
925,W 70TH AV,18,Fremlin Investments Ltd,1,"[49.2084391, -123.1274796]"
1339,W 71ST AV,8,Shimamura Enterprises Ltd,1,"[49.2070188, -123.1361027]"
1355,W 71ST AV,20,Fred West Holdings Ltd,1,"[49.2070219, -123.1362553]"
1379,W 71ST AV,6,Kenneth Gurney,5,"[49.2070389, -123.1370458]"
361,W 7TH AV,8,Surefreeze Refrigeration & Air Condition Ltd,4,"[49.2648246, -123.1124971]"
2226,W 8TH AV,35,KBK No 194 Ventures Ltd,1,"[49.26479579999999, -123.1560401]"
11,W BROADWAY,15,Mann Kuan,1,"[49.2630284, -123.1052585]"
516,W BROADWAY,5,Yorkson Investment Company Ltd,5,"[49.2632315, -123.1157502]"
1073,W BROADWAY,6,Lemerald Investment Corp,1,"[49.2634933, -123.1282954]"
2341,W BROADWAY,9,Anthanasious Voutsilakos & Vasiliki Voutsilakos,1,"[49.2639368, -123.1585699]"
2352,W BROADWAY,39,Yang's Enterprises Ltd,1,"[49.2639168, -123.1589234]"
