STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING
1895,W 14TH AV,5,Rashid A Aziz (Rashid Aziz),5
1020,W 16TH AV,8,Shashi Khanna,1
33,W 19TH AV,5,Tai M Lum (Tai Lum),5
2391,W 2ND AV,6,Cindy Rosamarie Wajzer-Zeindler (Cindy Wajzer-Zeindler),5
2455,W 2ND AV,32,Climar Development Co Ltd,12
2120,W 44TH AV,46,Cavalier Manor Holding Co Ltd,1
2629,W 4TH AV,10,Koon Kei Yang (Koon Yang),4
2760,W 4TH AV,10,Singh Gurdyal Sahota & Kaur P Sahota,3
3285,W 4TH AV,25,Kit S Hung & Shuk Y Hung,3
2232,W 5TH AV,20,5th Avenue Investments Ltd,1
3675,W 5TH AV,6,Ample Enterprises Ltd,5
925,W 70TH AV,18,Fremlin Investments Ltd,1
1339,W 71ST AV,8,Shimamura Enterprises Ltd,1
1355,W 71ST AV,20,Fred West Holdings Ltd,1
1379,W 71ST AV,6,Kenneth Gurney,5
361,W 7TH AV,8,Surefreeze Refrigeration & Air Condition Ltd,4
2226,W 8TH AV,35,KBK No 194 Ventures Ltd,1
11,W BROADWAY,15,Mann Kuan,1
516,W BROADWAY,5,Yorkson Investment Company Ltd,5
1073,W BROADWAY,6,Lemerald Investment Corp,1
2341,W BROADWAY,9,Anthanasious Voutsilakos & Vasiliki Voutsilakos,1
2352,W BROADWAY,39,Yang's Enterprises Ltd,1
2425,W BROADWAY,9,Maro Investments Ltd,3
2485,W BROADWAY,32,bcIMC Realty Corporation,4
2879,W BROADWAY,8,Ted Tsoromocos,1
57,W CORDOVA ST,54,Fortin Holdings Ltd,30
29,W HASTINGS ST,42,Central City Foundation,20
33,W HASTINGS ST,29,0927000 B C Ltd,21
35,W HASTINGS ST,32,Laurelwood Ventures Inc,21
74,W HASTINGS ST,35,Grand Union Holdings Ltd,1
106,W HASTINGS ST,36,Petrina Enterprises Inc,6
1427,W KING EDWARD AV,10,All Star Development Ltd,4
133,W PENDER ST,114,Vancouver Native Housing Society,1
165,W PENDER ST,85,Mina Angelicola,29
429,W PENDER ST,56,Provincial Rental Housing Corporation,1
620,W PENDER ST,51,620 W Pender Holdings Ltd,1
2177,WALL ST,17,Gordon Ho,2
2184,WALL ST,21,600342 BC Ltd,2
2199,WALL ST,28,Wall Street Holdings Ltd,2
102,WATER ST,79,Winters Residence Ltd,2
110,WATER ST,92,Provincial Rental Housing Corporation,122
122,WATER ST,147,Colonial Enterprises Ltd,7
1969,WATERLOO ST,9,Michael Tam & Samantha Tam,3
3510,WELLINGTON AV,5,Chee Mon Chu & Jean Chu,4
1750,WILLIAM ST,5,Thomas B Cave (Thomas Cave),2
2575,WINDSOR ST,20,Irene Autieri & Mary-Anne Sidaway & Elizabeth Krause & Henry Krause,2
322,WOODLAND DRIVE,29,Elleno Aloisio,9
512,WOODLAND DRIVE,16,Yin F Tong (Yin Tong),1
1200,WOODLAND DRIVE,6,Trevor French,1
1209,WOODLAND DRIVE,6,Nightingale Holdings Ltd,4
1601,YEW ST,10,PY -1 Investments Ltd,2
2275,YORK AV,9,York Street Properties Ltd,1
2366,YORK AV,11,Martin & Susan Sally,3
